Company,Symbol,Industry
Lilly (Eli) & Co.,LLY,Health Care
Lincoln National,LNC,Financials
Linear Technology Corp.,LLTC,Information Technology
Lockheed Martin Corp.,LMT,Industrials
Loews Corp.,L,Financials
Lowe's Cos.,LOW,Consumer Discretionary
LyondellBasell,LYB,Materials
M&T Bank Corp.,MTB,Financials
Macerich,MAC,Financials
Macy's Inc.,M,Consumer Discretionary
Mallinckrodt Plc,MNK,Health Care
Marathon Oil Corp.,MRO,Energy
Marathon Petroleum,MPC,Energy
Marriott Int'l.,MAR,Consumer Discretionary
Marsh & McLennan,MMC,Financials
Martin Marietta Materials,MLM,Materials
Masco Corp.,MAS,Industrials
Mastercard Inc.,MA,Information Technology
Mattel Inc.,MAT,Consumer Discretionary
McCormick & Co.,MKC,Consumer Staples
McDonald's Corp.,MCD,Consumer Discretionary
McGraw Hill Financial,MHFI,Financials
McKesson Corp.,MCK,Health Care
Mead Johnson,MJN,Consumer Staples
MeadWestvaco Corporation,MWV,Materials
Medtronic plc,MDT,Health Care
Merck & Co.,MRK,Health Care
MetLife Inc.,MET,Financials
Michael Kors Holdings,KORS,Consumer Discretionary
Microchip Technology,MCHP,Information Technology
Micron Technology,MU,Information Technology
Microsoft Corp.,MSFT,Information Technology
Mohawk Industries,MHK,Consumer Discretionary
Molson Coors Brewing Company,TAP,Consumer Staples
Mondelez International,MDLZ,Consumer Staples
Monsanto Co.,MON,Materials
Monster Beverage,MNST,Consumer Staples
Moody's Corp,MCO,Financials
Morgan Stanley,MS,Financials
The Mosaic Company,MOS,Materials
Motorola Solutions Inc.,MSI,Information Technology
Murphy Oil,MUR,Energy
Mylan N.V.,MYL,Health Care
NASDAQ OMX Group,NDAQ,Financials
National Oilwell Varco Inc.,NOV,Energy
Navient,NAVI,Financials
NetApp,NTAP,Information Technology
Netflix Inc.,NFLX,Information Technology
Newell Rubbermaid Co.,NWL,Consumer Discretionary
Newfield Exploration Co,NFX,Energy
Newmont Mining Corp. (Hldg. Co.),NEM,Materials
News Corp.,NWSA,Consumer Discretionary
NextEra Energy,NEE,Utilities
Nielsen Holdings,NLSN,Industrials
Nike,NKE,Consumer Discretionary
NiSource Inc.,NI,Utilities
Noble Corp,NE,Energy
Noble Energy Inc,NBL,Energy
Nordstrom,JWN,Consumer Discretionary
Norfolk Southern Corp.,NSC,Industrials
Northern Trust Corp.,NTRS,Financials
Northrop Grumman Corp.,NOC,Industrials
NRG Energy,NRG,Utilities
Nucor Corp.,NUE,Materials
Nvidia Corporation,NVDA,Information Technology
O'Reilly Automotive,ORLY,Consumer Discretionary
Occidental Petroleum,OXY,Energy
Omnicom Group,OMC,Consumer Discretionary
ONEOK,OKE,Energy
Oracle Corp.,ORCL,Information Technology
Owens-Illinois Inc,OI,Materials
PACCAR Inc.,PCAR,Industrials
Pall Corp.,PLL,Industrials
Parker-Hannifin,PH,Industrials
Patterson Companies,PDCO,Health Care
Paychex Inc.,PAYX,Information Technology
Pentair Ltd.,PNR,Industrials
People's United Financial,PBCT,Financials
Pepco Holdings Inc.,POM,Utilities
PepsiCo Inc.,PEP,Consumer Staples
PerkinElmer,PKI,Health Care
Perrigo,PRGO,Health Care
Pfizer Inc.,PFE,Health Care
PG&E Corp.,PCG,Utilities
Philip Morris International,PM,Consumer Staples
Phillips 66,PSX,Energy
Pinnacle West Capital,PNW,Utilities
Pioneer Natural Resources,PXD,Energy
Pitney-Bowes,PBI,Industrials
Plum Creek Timber Co.,PCL,Financials
PNC Financial Services,PNC,Financials
Polo Ralph Lauren Corp.,RL,Consumer Discretionary
PPG Industries,PPG,Materials
PPL Corp.,PPL,Utilities
Praxair Inc.,PX,Materials
Precision Castparts,PCP,Industrials
Priceline.com Inc,PCLN,Consumer Discretionary
Principal Financial Group,PFG,Financials
Procter & Gamble,PG,Consumer Staples
Progressive Corp.,PGR,Financials
Prologis,PLD,Financials
Prudential Financial,PRU,Financials
Public Serv. Enterprise Inc.,PEG,Utilities
Public Storage,PSA,Financials
Pulte Homes Inc.,PHM,Consumer Discretionary
PVH Corp.,PVH,Consumer Discretionary
Qorvo,QRVO,Information Technology
QEP Resources,QEP,Energy
Quanta Services Inc.,PWR,Industrials
QUALCOMM Inc.,QCOM,Information Technology
Quest Diagnostics,DGX,Health Care
Range Resources Corp.,RRC,Energy
Raytheon Co.,RTN,Industrials
Realty Income Corporation,O,Financials
Red Hat Inc.,RHT,Information Technology
Regeneron,REGN,Health Care
Regions Financial Corp.,RF,Financials
Republic Services Inc,RSG,Industrials
Reynolds American Inc.,RAI,Consumer Staples
Robert Half International,RHI,Industrials
Rockwell Automation Inc.,ROK,Industrials
Rockwell Collins,COL,Industrials
Roper Industries,ROP,Industrials
Ross Stores,ROST,Consumer Discretionary
Royal Caribbean Cruises Ltd,RCL,Consumer Discretionary
Ryder System,R,Industrials
Salesforce.com,CRM,Information Technology
SanDisk Corporation,SNDK,Information Technology
SCANA Corp,SCG,Utilities
Schlumberger Ltd.,SLB,Energy
Scripps Networks Interactive Inc.,SNI,Consumer Discretionary
Seagate Technology,STX,Information Technology
Sealed Air Corp.(New),SEE,Materials
Sempra Energy,SRE,Utilities
Sherwin-Williams,SHW,Materials
Sigma-Aldrich,SIAL,Materials
Simon Property Group Inc,SPG,Financials
Skyworks Solutions,SWKS,Information Technology
SL Green Realty,SLG,Financials
Smucker (J.M.),SJM,Consumer Staples
Snap-On Inc.,SNA,Consumer Discretionary
Southern Co.,SO,Utilities
Southwest Airlines,LUV,Industrials
Southwestern Energy,SWN,Energy
Spectra Energy Corp.,SE,Energy
St Jude Medical,STJ,Health Care
Stanley Black & Decker,SWK,Consumer Discretionary
Staples Inc.,SPLS,Consumer Discretionary
Starbucks Corp.,SBUX,Consumer Discretionary
Starwood Hotels & Resorts,HOT,Consumer Discretionary
State Street Corp.,STT,Financials
Stericycle Inc,SRCL,Industrials
Stryker Corp.,SYK,Health Care
SunTrust Banks,STI,Financials
Symantec Corp.,SYMC,Information Technology
Sysco Corp.,SYY,Consumer Staples
T. Rowe Price Group,TROW,Financials
Target Corp.,TGT,Consumer Discretionary
TE Connectivity Ltd.,TEL,Information Technology
TECO Energy,TE,Utilities
Tenet Healthcare Corp.,THC,Health Care
Teradata Corp.,TDC,Information Technology
Tesoro Petroleum Co.,TSO,Energy
Texas Instruments,TXN,Information Technology
Textron Inc.,TXT,Industrials
The Hershey Company,HSY,Consumer Staples
The Travelers Companies Inc.,TRV,Financials
Thermo Fisher Scientific,TMO,Health Care
Tiffany & Co.,TIF,Consumer Discretionary
Time Warner Inc.,TWX,Consumer Discretionary
Time Warner Cable Inc.,TWC,Consumer Discretionary
TJX Companies Inc.,TJX,Consumer Discretionary
Torchmark Corp.,TMK,Financials
Total System Services,TSS,Information Technology
Tractor Supply Company,TSCO,Consumer Discretionary
Transocean,RIG,Energy
TripAdvisor,TRIP,Consumer Discretionary
Twenty-First Century Fox,FOXA,Consumer Discretionary
Tyson Foods,TSN,Consumer Staples
Tyco International,TYC,Industrials
U.S. Bancorp,USB,Financials
Under Armour,UA,Consumer Discretionary
Union Pacific,UNP,Industrials
United Health Group Inc.,UNH,Health Care
United Parcel Service,UPS,Industrials
"United Rentals, Inc.",URI,Industrials
United Technologies,UTX,Industrials
"Universal Health Services, Inc.",UHS,Health Care
Unum Group,UNM,Financials
Urban Outfitters,URBN,Consumer Discretionary
V.F. Corp.,VFC,Consumer Discretionary
Valero Energy,VLO,Energy
Varian Medical Systems,VAR,Health Care
Ventas Inc,VTR,Financials
Verisign Inc.,VRSN,Information Technology
Verizon Communications,VZ,Telecommunications Services
Vertex Pharmaceuticals Inc,VRTX,Health Care
Viacom Inc.,VIAB,Consumer Discretionary
Visa Inc.,V,Information Technology
Vornado Realty Trust,VNO,Financials
Vulcan Materials,VMC,Materials
Wal-Mart Stores,WMT,Consumer Staples
Walgreens Boots Alliance,WBA,Consumer Staples
The Walt Disney Company,DIS,Consumer Discretionary
Waste Management Inc.,WM,Industrials
Waters Corporation,WAT,Health Care
Anthem Inc.,ANTM,Health Care
Wells Fargo,WFC,Financials
Western Digital,WDC,Information Technology
Western Union Co,WU,Information Technology
Weyerhaeuser Corp.,WY,Financials
Whirlpool Corp.,WHR,Consumer Discretionary
Whole Foods Market,WFM,Consumer Staples
Williams Cos.,WMB,Energy
Wisconsin Energy Corporation,WEC,Utilities
Wyndham Worldwide,WYN,Consumer Discretionary
Wynn Resorts Ltd,WYNN,Consumer Discretionary
Xcel Energy Inc,XEL,Utilities
Xerox Corp.,XRX,Information Technology
Xilinx Inc,XLNX,Information Technology
XL Capital,XL,Financials
Xylem Inc.,XYL,Industrials
Yahoo Inc.,YHOO,Information Technology
Yum! Brands Inc,YUM,Consumer Discretionary
Zimmer Holdings,ZMH,Health Care
Zions Bancorp,ZION,Financials
Zoetis,ZTS,Health Care
